p_id,prs,code_reviews
4083437,0,0
24478677,0,0
31630389,0,0
16966226,0,0
13615815,0,0
12330178,0,0
7077606,0,0
2887528,0,0
17084259,0,0
31630002,0,0
6837061,0,0
37468666,0,0
34503774,0,0
34076173,0,0
18947343,0,0
975815,0,0
29636758,0,0
28757579,0,0
29144571,0,0
24934907,0,0
30285278,0,0
12257652,0,0
18848120,0,0
7838261,0,0
10326811,0,0
882182,0,0
9495781,0,0
32014541,0,0
5460458,0,0
36262800,0,0
11293447,0,0
755003,0,0
11633149,0,0
3442842,0,0
20050004,0,0
811223,0,0
9013392,0,0
26459251,0,0
24570021,0,0
4029302,0,0
12691699,0,0
3383285,0,0
16928413,0,0
13428369,0,0
18947876,0,0
15152313,0,0
27148130,0,0
3284396,0,0
26096363,0,0
877012,0,0
30140479,0,0
1005183,0,0
12209404,0,0
27355984,0,0
142294,0,0
12618129,0,0
14435979,0,0
5380597,0,0
35947783,0,0
34611442,0,0
2981202,0,0
14532124,0,0
16168791,0,0
5272574,0,0
15770926,0,0
10422870,0,0
1917517,0,0
10613873,0,0
13627520,0,0
26636228,0,0
37441699,0,0
18630444,0,0
7186126,0,0
13851375,0,0
1966075,0,0
2668028,0,0
33845363,0,0
30657931,0,0
10072001,0,0
12642926,0,0
5228495,0,0
595633,0,0
11930016,0,0
24534038,0,0
17112281,0,0
279716,0,0
7411692,0,0
13739148,0,0
6843759,0,0
10511942,0,0
285997,0,0
29991589,0,0
27679916,0,0
12344718,0,0
169564,0,0
26179168,0,0
14884455,0,0
11077982,0,0
7837640,0,0
29813847,0,0
19586844,0,0
15437580,0,0
5469478,0,0
17575876,0,0
15083167,0,0
11712096,0,0
33881374,0,0
13106532,0,0
17580941,0,0
8105861,0,0
3526441,0,0
17746465,0,0
12750091,0,0
2824920,0,0
18201889,0,0
28018911,0,0
213043,0,0
11131924,0,0
31341079,0,0
9574173,0,0
33881549,0,0
32301410,0,0
3598397,0,0
24954090,0,0
6512250,0,0
378700,0,0
31436274,0,0
27638675,0,0
5388363,0,0
872006,0,0
10137586,0,0
28515798,0,0
31747106,0,0
11062445,0,0
36227811,0,0
19807468,0,0
42929184,0,0
28298901,0,0
5356707,0,0
21788460,0,0
12878397,0,0
10879820,0,0
13758026,0,0
24584401,0,0
10573632,0,0
8548096,0,0
27357487,0,0
2474418,0,0
32213688,0,0
10804004,0,0
8899063,0,0
25629644,0,0
3815110,0,0
7810991,0,0
21646104,0,0
23645678,0,0
544605,0,0
9720752,0,0
15550381,0,0
25887783,0,0
5866173,0,0
19128017,0,0
11413936,0,0
4146049,0,0
16121691,0,0
32118476,0,0
6752584,0,0
8453456,0,0
30220279,0,0
7609217,0,0
12416088,0,0
31230032,0,0
21162357,0,0
1476250,0,0
14774331,0,0
9695566,0,0
3463406,0,0
11080682,0,0
10568366,0,0
17332086,0,0
28153185,0,0
23364862,0,0
30776503,0,0
8619576,0,0
12510775,0,0
6609862,0,0
16544728,0,0
27791950,0,0
125897,0,0
