p_id,commits,authors
30613493,95,1
9096861,27,3
31120166,3,1
7407297,3,1
3467320,2,1
20132106,3,1
14084958,6,2
34518516,2,1
31034950,3,1
997751,13,1
161836,6,1
13357106,2,1
18101617,2,1
36739275,3,1
10597498,555,6
4502985,3,1
4933140,7,1
28837603,12,1
26992991,3,2
6607761,2,1
31840712,4,1
11412792,6,1
12243545,48,1
32249088,158,1
10577304,31,1
1313136,3,1
32701197,4,1
9983289,6,4
6128297,2,2
37472237,5,1
41024788,4,2
34603913,3,1
37709191,20,2
870119,76,1
30791126,12,1
6253655,22,1
42193144,6,1
9820995,4,1
32378074,3,1
27126588,13,1
22370383,3,1
3287901,4,1
4438044,21,1
36588744,2,1
5101403,12,1
33539767,9,1
29211553,9,2
1378366,36,5
31102039,13,2
30104424,28,1
29283430,21,3
37354940,37,1
18295760,5,1
15159229,5,1
13017382,3,1
137495,12,3
33052368,2,1
34139340,53,6
34058201,3,1
36755323,110,1
16584161,178,5
829355,2,1
42709927,9,1
8292039,3,1
36992216,5,2
92288,27,2
8878017,2,1
37828249,46,1
18547447,4,1
37192897,15,2
37134054,8,1
17014999,102,8
3452686,3,1
43410109,2,1
14317763,15,1
7482771,8,2
10432970,10,1
19231963,18,5
42146025,2,1
28908402,4,1
12583013,3,1
977154,5,2
12672754,40,2
41971937,4,1
23056425,10,1
30375252,9,1
29893770,7,1
3730144,2,1
43755500,3,1
35285373,7,1
29395509,5,1
27461304,68,1
2452577,2,1
40894476,34,2
29567061,13,1
19895783,2,1
5689161,11,1
12737663,3,1
5816608,2,1
28011717,26,1
24169954,21,1
13969372,2,2
12224039,4,1
8710845,18,3
12904179,31,1
19603835,3,1
24831926,7,1
12546537,26,2
27356641,2,1
44680745,4,1
14408821,2,1
14326825,47,1
17216665,6,2
37024859,3,1
14030993,4,1
19789415,4,1
2677534,2,1
19982109,4,2
18315174,12,1
35035396,2,1
26022249,12,2
13885985,14,1
13762915,6,2
24780376,3,1
20599471,5,2
30633319,10,1
31733454,2,1
2655080,5,1
11509465,2,2
32611941,5,1
33464349,8,1
32334259,3,1
28318479,3,1
33668145,5,2
12136885,3,1
4563866,7,1
11440132,5,1
29790465,2,1
30642532,8,1
11765518,11,1
26019491,15,1
13999132,200,1
12540769,7,2
4254796,6,3
32983890,4,1
33935387,7,1
39474778,2,2
35518651,4,2
31072127,3,1
35950502,10,2
34846752,4,1
4754176,3,1
24990518,52,2
7305726,3,1
44273541,272,5
23885351,20,1
25540142,3,1
7573382,50,1
29768872,5,3
27218532,6,2
30952418,2,1
25156873,3,1
28252923,93,5
21643449,4,2
21683431,5,3
21211252,2,1
44507440,3,1
12983507,15,1
31747606,6,1
20274953,11,1
20566546,3,1
5726650,2,1
19269754,5,1
6031369,19,3
7553709,74,1
38496280,2,1
28606100,36,2
5748008,27,1
28515586,4,1
31775340,2,1
26437217,4,1
28684666,3,1
33280216,4,1
27441681,10,1
8054914,20,1
39770330,71,3
24951376,6,1
9850792,33,2
31085651,12,2
36906754,11,2
26543321,3,1
35884771,2,1
22157880,21,1
19125107,28,3
13771291,2,2
42483085,12,2
41251,66,3
17650022,2,1
8617781,14,2
32086191,6,1
31040794,6,1
18814478,2,1
41655692,6,1
6797930,4,3
8646957,7,2
39000797,25,1
18525944,14,1
33831157,4,1
21095500,4,1
10615814,11,1
2812810,2,1
13054312,3,1
16758692,4,1
40278058,3,1
32575846,27,3
41708574,2,1
33123824,24,1
13631277,7,2
32075353,36,1
32540338,2,2
5882990,4,1
21339107,6,1
34422723,4,1
27823751,4,1
33572426,7,2
20826715,9,1
15132926,2,1
37301563,2,1
5663799,11,1
26163272,41,1
37062468,48,1
43457304,12,1
43722407,2,1
29788187,19,1
21831414,5,1
27732870,31,1
28129964,5,1
3902298,32,3
34525706,4,1
10869244,3,1
18324817,28,1
34996824,5,1
33148014,3,1
37672202,24,1
33734952,2,1
7084344,14,1
15827202,3,1
33616467,3,1
42188703,39,1
37191456,2,1
10479991,18,1
32889139,2,1
41506980,54,3
28004907,2,1
29376954,40,1
15682441,3,1
8616455,15,1
31924394,4,1
12307437,22,2
70781,91,2
13998352,16,1
29860683,2,1
4666068,2,1
15969397,2,1
18616403,16,1
32751807,19,1
7534162,10,1
6139275,50,1
34145396,3,1
18542031,5,1
14715629,5,1
27009303,70,1
25939336,6,1
32334423,11,1
12587350,74,2
44134169,12,1
5898344,3,2
9967344,3,1
34340897,8,2
10070383,11,1
38830504,2,2
26961494,2,1
44965450,38,2
27842756,2,1
